user_id,cashback_perdido_mensual,segmento,nomina_domiciliada,ingreso_mensual_mxn,score_buro,edad,ocupacion,satisfaccion_1_10,dias_desde_ultimo_login,num_productos_activos
USR-00004,53.75118181818182,C,False,61000,837,32,Empleado,10.0,16,3
USR-00009,20.500225,C,True,19500,665,54,Empleado,9.0,7,2
USR-00010,10.52719090909091,C,False,23500,609,26,Independiente,7.0,2,1
USR-00011,49.459925,C,True,60000,592,42,Empleado,10.0,7,2
USR-00013,18.589066666666668,C,True,26000,612,52,Empleado,10.0,5,2
USR-00014,20.20249,C,True,39000,575,26,Empleado,6.0,9,3
USR-00015,18.399022222222225,C,True,19500,484,54,Empleado,9.0,5,3
USR-00017,51.019712500000004,C,False,25000,662,48,Independiente,7.0,14,3
USR-00019,5.175799999999999,C,True,15500,376,26,Empleado,6.0,111,0
USR-00023,18.425444444444445,C,True,12500,570,34,Empleado,6.0,17,3
USR-00025,19.56662222222222,C,True,14000,533,44,Empleado,8.0,12,3
USR-00027,10.939911111111112,C,False,23000,769,18,Estudiante,7.0,3,1
USR-00029,132.55096250000003,B,False,85000,584,54,Independiente,10.0,11,4
USR-00031,15.552671428571427,C,False,24000,329,37,Empleado,5.0,15,1
USR-00032,42.457300000000004,C,False,21500,833,33,Empleado,10.0,5,3
USR-00033,11.0242125,C,False,15500,422,25,Empresario,5.0,13,2
USR-00036,13.12062857142857,C,True,13500,690,31,Empleado,,8,4
USR-00037,13.175550000000001,C,False,15000,760,28,Empleado,10.0,1,1
USR-00039,5.8803,C,False,27500,626,55,Independiente,6.0,90,0
USR-00040,45.403511111111115,C,False,33000,703,59,Empleado,10.0,6,2
USR-00042,14.47268888888889,C,True,18000,412,34,Empleado,3.0,15,2
USR-00045,4.6606000000000005,C,True,12500,715,52,Empleado,4.0,138,1
USR-00047,16.37657,C,True,19500,675,39,Empleado,10.0,14,4
USR-00048,55.18342857142857,C,False,55000,694,45,Independiente,7.0,5,4
USR-00052,3.6136,C,False,34000,629,56,Estudiante,,157,1
USR-00054,54.201912500000006,C,True,23000,665,37,Empleado,6.0,4,3
USR-00057,32.36412857142857,C,False,29000,599,56,Empleado,9.0,5,4
USR-00058,8.191357142857143,C,False,20500,450,40,Empleado,7.0,4,2
USR-00059,6.16845,C,False,32500,507,22,Independiente,5.0,80,0
USR-00061,139.55044285714285,B,False,49000,761,30,Independiente,9.0,13,1
USR-00062,11.596957142857145,C,False,10000,520,25,Empleado,4.0,10,3
USR-00064,11.203416666666667,C,False,14000,345,29,Empleado,7.0,10,1
USR-00066,15.49718181818182,C,True,17000,744,34,Empleado,,16,3
USR-00067,17.59704285714286,C,True,12500,444,40,Empleado,6.0,18,1
USR-00068,21.8269125,C,True,37000,582,54,Empleado,7.0,16,3
USR-00069,163.0935777777778,B,False,45000,640,49,Empresario,7.0,14,3
USR-00071,17.3431,C,False,16500,597,19,Estudiante,8.0,3,1
USR-00074,8.1324,C,False,5500,670,34,Estudiante,6.0,163,1
USR-00075,126.7717375,B,False,42000,676,38,Empresario,6.0,12,3
USR-00079,8.8682,C,False,14000,464,39,Desempleado,4.0,38,1
USR-00080,19.432911111111114,C,False,13500,470,45,Empleado,7.0,12,1
USR-00081,49.947663636363636,C,False,32500,653,33,Independiente,8.0,2,1
USR-00086,39.10946666666667,C,False,37000,821,35,Independiente,8.0,19,3
USR-00088,1.9611000000000003,C,False,6000,611,24,Estudiante,6.0,105,1
USR-00089,15.924233333333333,C,True,12500,746,47,Empleado,10.0,5,1
USR-00090,194.6091375,B,False,99000,650,33,Independiente,,14,4
USR-00092,12.315975,C,False,21000,558,43,Empleado,3.0,23,1
USR-00096,5.747,C,True,23000,605,27,Empleado,5.0,135,1
USR-00098,12.79141,C,False,12000,694,31,Empleado,8.0,2,3
USR-00099,15.1913625,C,False,15000,421,30,Independiente,5.0,24,1
USR-00101,26.142509090909094,C,True,13500,719,38,Empleado,10.0,4,2
USR-00108,20.05297777777778,C,True,25500,492,51,Empleado,9.0,7,2
USR-00109,20.045299999999997,C,False,15000,435,23,Independiente,6.0,51,1
USR-00110,16.466536363636365,C,False,15500,349,37,Empleado,3.0,21,1
USR-00112,51.02393,C,False,31000,718,33,Independiente,10.0,0,3
USR-00113,14.4149,C,False,32000,692,30,Estudiante,5.0,106,1
USR-00121,18.7753,C,True,39500,738,52,Empleado,7.0,4,3
USR-00124,8.255,C,False,12000,553,55,Desempleado,5.0,81,1
USR-00126,23.205714285714286,C,True,16500,651,26,Empleado,7.0,11,1
USR-00127,18.2054,C,True,20500,553,41,Empleado,6.0,6,2
USR-00128,18.42419090909091,C,False,11000,537,30,Independiente,8.0,2,1
USR-00129,39.500890000000005,C,False,52000,652,54,Empleado,7.0,7,4
USR-00133,10.096966666666667,C,True,12000,440,40,Empleado,5.0,19,3
USR-00134,30.32872727272727,C,False,58000,820,43,Empleado,7.0,16,4
USR-00135,12.770972727272726,C,False,20000,658,30,Independiente,8.0,1,2
USR-00136,3.88725,C,False,10000,685,40,Independiente,5.0,52,0
USR-00137,25.006,C,False,19000,421,34,Independiente,4.0,76,1
USR-00139,34.01802857142857,C,True,35000,848,51,Empleado,10.0,14,3
USR-00141,15.450487500000001,C,False,24000,547,34,Independiente,4.0,20,1
