user_id,ingreso_mensual_mxn,carga_fija_total,gasto_ultimos_15_dias,gasto_acumulado_mes,gasto_real_mes_anterior,historial_mayor_15d,tasa_gasto_diario,gasto_estimado_fin_mes,ingreso_restante_estimado,balance_actual,dias_hasta_deficit
USR-00001,24500,3891.0,0.0,0.0,1154.08,True,0.0,0.0,20609.0,20609.0,inf
USR-00002,19000,4688.0,0.0,0.0,1396.74,True,0.0,0.0,14312.0,14312.0,inf
USR-00003,14000,3542.0,0.0,0.0,823.49,True,0.0,0.0,10458.0,10458.0,inf
USR-00004,61000,2195.0,0.0,0.0,2338.12,True,0.0,0.0,58805.0,58805.0,inf
USR-00005,27000,5583.0,0.0,0.0,1444.7399999999998,True,0.0,0.0,21417.0,21417.0,inf
USR-00006,28000,4937.0,0.0,0.0,1315.35,True,0.0,0.0,23063.0,23063.0,inf
USR-00007,32000,1222.27,0.0,0.0,1648.44,True,0.0,0.0,30777.73,30777.73,inf
USR-00008,11500,5135.0,0.0,0.0,1322.45,True,0.0,0.0,6365.0,6365.0,inf
USR-00009,19500,2829.27,0.0,0.0,0.0,True,0.0,0.0,16670.73,16670.73,inf
USR-00010,23500,4091.0,0.0,0.0,2508.5200000000004,True,0.0,0.0,19409.0,19409.0,inf
USR-00011,60000,997.0,0.0,0.0,921.53,True,0.0,0.0,59003.0,59003.0,inf
USR-00012,18000,4268.14,0.0,0.0,1492.47,True,0.0,0.0,13731.86,13731.86,inf
USR-00013,26000,2837.58,0.0,0.0,536.93,True,0.0,0.0,23162.42,23162.42,inf
USR-00014,39000,1219.77,0.0,0.0,1485.4,True,0.0,0.0,37780.23,37780.23,inf
USR-00015,19500,1283.83,0.0,0.0,0.0,True,0.0,0.0,18216.17,18216.17,inf
USR-00016,18000,4337.07,1497.65,1497.65,0.0,True,99.84333333333333,3095.1433333333334,10567.786666666667,12165.28,121.84368844523087
USR-00017,25000,1745.0,0.0,0.0,6091.6900000000005,True,0.0,0.0,23255.0,23255.0,inf
USR-00018,22000,4054.2799999999997,0.0,0.0,63.13,True,0.0,0.0,17945.72,17945.72,inf
USR-00019,15500,0.0,0.0,0.0,0.0,True,0.0,0.0,15500.0,15500.0,inf
USR-00020,36500,847.0,0.0,0.0,0.0,True,0.0,0.0,35653.0,35653.0,inf
USR-00021,20000,847.0,0.0,0.0,1059.65,True,0.0,0.0,19153.0,19153.0,inf
USR-00022,36000,2094.0,0.0,0.0,16198.810000000001,True,0.0,0.0,33906.0,33906.0,inf
USR-00023,12500,1658.24,0.0,0.0,1309.52,True,0.0,0.0,10841.76,10841.76,inf
USR-00024,51000,749.28,0.0,0.0,4216.42,True,0.0,0.0,50250.72,50250.72,inf
USR-00025,14000,2717.39,332.55,332.55,3634.62,True,22.17,687.27,10595.34,10950.060000000001,493.9133964817321
USR-00026,22500,3190.0,0.0,0.0,1169.02,True,0.0,0.0,19310.0,19310.0,inf
USR-00027,23000,2542.0,0.0,0.0,464.54999999999995,True,0.0,0.0,20458.0,20458.0,inf
USR-00028,28000,4638.0,0.0,0.0,1544.9399999999998,True,0.0,0.0,23362.0,23362.0,inf
USR-00029,85000,2252.16,0.0,0.0,18614.050000000003,True,0.0,0.0,82747.84,82747.84,inf
USR-00030,17500,5189.0,0.0,0.0,757.21,True,0.0,0.0,12311.0,12311.0,inf
USR-00031,24000,3091.77,0.0,0.0,881.59,True,0.0,0.0,20908.23,20908.23,inf
USR-00032,21500,3293.0,0.0,0.0,6770.65,True,0.0,0.0,18207.0,18207.0,inf
USR-00033,15500,1897.0,0.0,0.0,1273.1,True,0.0,0.0,13603.0,13603.0,inf
USR-00034,34000,1248.0,0.0,0.0,2743.04,True,0.0,0.0,32752.0,32752.0,inf
USR-00035,15000,1396.0,0.0,0.0,4583.08,True,0.0,0.0,13604.0,13604.0,inf
USR-00036,13500,2981.77,0.0,0.0,651.77,True,0.0,0.0,10518.23,10518.23,inf
USR-00037,15000,3988.0,0.0,0.0,765.61,True,0.0,0.0,11012.0,11012.0,inf
USR-00038,34500,4764.8,0.0,0.0,0.0,True,0.0,0.0,29735.2,29735.2,inf
USR-00039,27500,0.0,0.0,0.0,0.0,True,0.0,0.0,27500.0,27500.0,inf
USR-00040,33000,948.0,0.0,0.0,883.41,True,0.0,0.0,32052.0,32052.0,inf
USR-00041,19000,748.0,2823.45,2823.45,0.0,True,188.23,5835.129999999999,12416.87,15428.55,81.96647718217075
USR-00042,18000,4552.45,0.0,0.0,847.0,True,0.0,0.0,13447.55,13447.55,inf
USR-00043,89000,2693.0,0.0,0.0,3618.6,True,0.0,0.0,86307.0,86307.0,inf
USR-00044,28000,5586.0,0.0,0.0,1369.63,True,0.0,0.0,22414.0,22414.0,inf
USR-00045,12500,0.0,0.0,0.0,0.0,True,0.0,0.0,12500.0,12500.0,inf
USR-00046,19500,2591.0,0.0,0.0,689.72,True,0.0,0.0,16909.0,16909.0,inf
USR-00047,19500,1720.38,1098.99,1098.99,496.05,True,73.266,2271.246,15508.374,16680.629999999997,227.67218082057155
USR-00048,55000,6418.4,0.0,0.0,0.0,True,0.0,0.0,48581.6,48581.6,inf
USR-00049,12000,7932.0,0.0,0.0,1608.0,True,0.0,0.0,4068.0,4068.0,inf
USR-00050,83000,4681.84,0.0,0.0,22521.2,True,0.0,0.0,78318.16,78318.16,inf
USR-00051,20000,598.0,0.0,0.0,7046.06,True,0.0,0.0,19402.0,19402.0,inf
USR-00052,34000,0.0,0.0,0.0,0.0,True,0.0,0.0,34000.0,34000.0,inf
USR-00053,9500,0.0,0.0,0.0,0.0,True,0.0,0.0,9500.0,9500.0,inf
USR-00054,23000,234.69,0.0,0.0,0.0,True,0.0,0.0,22765.31,22765.31,inf
USR-00055,49500,2094.0,0.0,0.0,3323.14,True,0.0,0.0,47406.0,47406.0,inf
USR-00056,17500,5733.0,0.0,0.0,987.47,True,0.0,0.0,11767.0,11767.0,inf
USR-00057,29000,2436.18,0.0,0.0,0.0,True,0.0,0.0,26563.82,26563.82,inf
USR-00058,20500,5578.96,0.0,0.0,0.0,True,0.0,0.0,14921.04,14921.04,inf
USR-00059,32500,0.0,0.0,0.0,0.0,True,0.0,0.0,32500.0,32500.0,inf
USR-00060,66000,1416.75,0.0,0.0,0.0,True,0.0,0.0,64583.25,64583.25,inf
USR-00061,49000,2345.0,0.0,0.0,0.0,True,0.0,0.0,46655.0,46655.0,inf
USR-00062,10000,7238.74,0.0,0.0,2014.15,True,0.0,0.0,2761.26,2761.26,inf
USR-00063,57500,897.0,0.0,0.0,315.94,True,0.0,0.0,56603.0,56603.0,inf
USR-00064,14000,6423.19,0.0,0.0,0.0,True,0.0,0.0,7576.81,7576.81,inf
USR-00065,9000,2643.0,0.0,0.0,2053.4,True,0.0,0.0,6357.0,6357.0,inf
USR-00066,17000,1655.15,782.49,782.49,1232.58,True,52.166000000000004,1617.1460000000002,13727.704,14562.36,279.1542383928229
USR-00067,12500,7129.48,0.0,0.0,1403.4,True,0.0,0.0,5370.52,5370.52,inf
USR-00068,37000,3872.08,0.0,0.0,1723.89,True,0.0,0.0,33127.92,33127.92,inf
USR-00069,45000,3816.17,0.0,0.0,13259.01,True,0.0,0.0,41183.83,41183.83,inf
USR-00070,19000,1147.0,0.0,0.0,0.0,True,0.0,0.0,17853.0,17853.0,inf
USR-00071,16500,2741.0,0.0,0.0,2190.33,True,0.0,0.0,13759.0,13759.0,inf
USR-00072,19500,5219.44,109.15,109.15,0.0,True,7.276666666666667,225.57666666666668,14054.983333333334,14171.410000000002,1947.5139715987175
USR-00073,46000,6106.48,0.0,0.0,0.0,True,0.0,0.0,39893.520000000004,39893.520000000004,inf
USR-00074,5500,0.0,0.0,0.0,0.0,True,0.0,0.0,5500.0,5500.0,inf
USR-00075,42000,1297.0,0.0,0.0,0.0,True,0.0,0.0,40703.0,40703.0,inf
USR-00076,14500,5835.0,0.0,0.0,153.53,True,0.0,0.0,8665.0,8665.0,inf
USR-00077,11000,2645.0,0.0,0.0,931.54,True,0.0,0.0,8355.0,8355.0,inf
USR-00078,95000,1397.0,0.0,0.0,32689.350000000002,True,0.0,0.0,93603.0,93603.0,inf
USR-00079,14000,0.0,0.0,0.0,0.0,True,0.0,0.0,14000.0,14000.0,inf
USR-00080,13500,5114.1900000000005,0.0,0.0,0.0,True,0.0,0.0,8385.81,8385.81,inf
USR-00081,32500,1246.0,0.0,0.0,10564.89,True,0.0,0.0,31254.0,31254.0,inf
USR-00082,28500,0.0,0.0,0.0,0.0,True,0.0,0.0,28500.0,28500.0,inf
USR-00083,24000,1347.0,0.0,0.0,1067.19,True,0.0,0.0,22653.0,22653.0,inf
USR-00084,67000,199.0,0.0,0.0,6643.030000000001,True,0.0,0.0,66801.0,66801.0,inf
USR-00085,13000,10179.93,0.0,0.0,0.0,True,0.0,0.0,2820.0699999999997,2820.0699999999997,inf
USR-00086,37000,1098.0,0.0,0.0,6974.67,True,0.0,0.0,35902.0,35902.0,inf
USR-00087,27500,4789.0,0.0,0.0,1610.13,True,0.0,0.0,22711.0,22711.0,inf
USR-00088,6000,0.0,0.0,0.0,0.0,True,0.0,0.0,6000.0,6000.0,inf
USR-00089,12500,1946.0,213.18,213.18,0.0,True,14.212,440.572,10113.428,10340.82,727.6118772867999
USR-00090,99000,3503.49,0.0,0.0,2696.2,True,0.0,0.0,95496.51,95496.51,inf
USR-00091,70000,0.0,0.0,0.0,0.0,True,0.0,0.0,70000.0,70000.0,inf
USR-00092,21000,896.0,0.0,0.0,1377.62,True,0.0,0.0,20104.0,20104.0,inf
USR-00093,16500,6487.8,0.0,0.0,0.0,True,0.0,0.0,10012.2,10012.2,inf
USR-00094,20500,3340.0,0.0,0.0,1301.67,True,0.0,0.0,17160.0,17160.0,inf
USR-00095,31500,3001.1,1686.83,1686.83,0.0,True,112.45533333333333,3486.115333333333,25012.784666666666,26812.07,238.42417433884862
USR-00096,23000,0.0,0.0,0.0,0.0,True,0.0,0.0,23000.0,23000.0,inf
USR-00097,69000,898.0,0.0,0.0,0.0,True,0.0,0.0,68102.0,68102.0,inf
USR-00098,12000,2044.0,0.0,0.0,960.22,True,0.0,0.0,9956.0,9956.0,inf
USR-00099,15000,2085.34,0.0,0.0,0.0,True,0.0,0.0,12914.66,12914.66,inf
USR-00100,34000,996.0,0.0,0.0,1948.28,True,0.0,0.0,33004.0,33004.0,inf
USR-00101,13500,1296.0,0.0,0.0,4908.33,True,0.0,0.0,12204.0,12204.0,inf
USR-00102,13000,6534.0,0.0,0.0,1812.31,True,0.0,0.0,6466.0,6466.0,inf
USR-00103,8500,948.0,0.0,0.0,785.93,True,0.0,0.0,7552.0,7552.0,inf
USR-00104,18000,1895.0,0.0,0.0,3282.19,True,0.0,0.0,16105.0,16105.0,inf
USR-00105,13000,4190.0,0.0,0.0,1146.88,True,0.0,0.0,8810.0,8810.0,inf
USR-00106,37000,2340.5,0.0,0.0,0.0,True,0.0,0.0,34659.5,34659.5,inf
USR-00107,15000,4639.0,0.0,0.0,1011.5799999999999,True,0.0,0.0,10361.0,10361.0,inf
USR-00108,25500,2096.0,0.0,0.0,2267.39,True,0.0,0.0,23404.0,23404.0,inf
USR-00109,15000,0.0,0.0,0.0,0.0,True,0.0,0.0,15000.0,15000.0,inf
USR-00110,15500,1146.0,0.0,0.0,324.25,True,0.0,0.0,14354.0,14354.0,inf
USR-00111,57000,714.1800000000001,0.0,0.0,0.0,True,0.0,0.0,56285.82,56285.82,inf
USR-00112,31000,2246.0,0.0,0.0,2444.82,True,0.0,0.0,28754.0,28754.0,inf
USR-00113,32000,0.0,0.0,0.0,0.0,True,0.0,0.0,32000.0,32000.0,inf
USR-00114,67000,1298.0,0.0,0.0,0.0,True,0.0,0.0,65702.0,65702.0,inf
USR-00115,14000,396.7,2148.09,2148.09,819.16,True,143.20600000000002,4439.386,9163.913999999999,11455.21,79.99113165649483
USR-00116,44000,0.0,0.0,0.0,3676.15,True,0.0,0.0,44000.0,44000.0,inf
USR-00117,26000,7382.0,0.0,0.0,1108.54,True,0.0,0.0,18618.0,18618.0,inf
