user_id,score_propension,segmento_upsell,cashback_perdido_mes,nomina_domiciliada,menciona_beneficios,satisfaccion_1_10
USR-04957,86.33,A,33.6,True,1,10.0
USR-07102,83.92,A,44.82,True,1,9.0
USR-07678,82.63,A,71.57,True,0,10.0
USR-10930,82.46,A,36.8,True,0,10.0
USR-03531,82.29,A,48.75,True,0,10.0
USR-07552,82.28,A,85.96,True,0,9.0
USR-03031,82.21,A,55.59,True,1,8.0
USR-03135,82.09,A,84.96,True,0,9.0
USR-12926,81.95,A,137.91,True,0,10.0
USR-01776,81.77,A,16.78,True,1,9.0
USR-14542,81.33,A,51.97,True,0,9.0
USR-03482,81.21,A,53.79,True,1,7.0
USR-02404,81.06,A,32.28,True,1,6.0
USR-01105,81.0,A,68.14,True,0,9.0
USR-04895,80.91,A,40.07,True,0,10.0
USR-02279,80.79,A,33.61,True,1,8.0
USR-11523,80.77,A,48.53,True,0,9.0
USR-05978,80.73,A,91.25,True,0,9.0
USR-14449,80.63,A,73.73,True,0,8.0
USR-08839,80.26,A,41.49,True,1,6.0
USR-00655,80.24,A,17.78,True,1,9.0
USR-14501,80.21,A,50.99,True,0,8.0
USR-00469,80.16,A,54.14,True,1,9.0
USR-08444,80.16,A,57.74,True,0,9.0
USR-12397,79.99,A,25.36,True,1,8.0
USR-08303,79.75,A,60.43,True,0,10.0
USR-12923,79.69,A,91.38,True,0,9.0
USR-02011,79.61,A,49.44,True,1,10.0
USR-03627,79.59,A,89.94,True,0,10.0
USR-00678,79.56,A,29.02,True,0,10.0
USR-12303,79.53,A,57.58,True,0,10.0
USR-12625,79.46,A,58.56,True,0,7.0
USR-07035,79.45,A,52.64,True,0,9.0
USR-12892,79.38,A,29.35,True,0,10.0
USR-12307,79.34,A,79.99,True,0,8.0
USR-08071,79.27,A,88.82,True,0,10.0
USR-08652,79.04,A,33.23,True,0,10.0
USR-14605,79.0,A,43.54,True,0,10.0
USR-02566,78.91,A,34.01,True,0,8.0
USR-08646,78.87,A,90.99,True,0,10.0
USR-01299,78.85,A,18.4,True,1,8.0
USR-14734,78.85,A,34.69,True,1,8.0
USR-11101,78.82,A,45.24,True,0,7.0
USR-04830,78.73,A,18.48,True,1,10.0
USR-02556,78.7,A,29.72,True,0,10.0
USR-06243,78.67,A,24.05,True,1,7.0
USR-10666,78.57,A,37.75,True,0,10.0
USR-00946,78.56,A,69.5,True,0,8.0
USR-01544,78.4,A,188.24,False,1,8.0
USR-14396,78.24,A,42.9,True,0,9.0
USR-00482,78.19,A,70.32,True,0,9.0
USR-08350,78.06,A,144.82,True,0,9.0
USR-07512,78.04,A,23.41,True,0,10.0
USR-01532,78.0,A,25.03,True,0,10.0
USR-10169,77.8,A,31.5,True,0,10.0
USR-06101,77.8,A,47.14,True,0,7.0
USR-09334,77.76,A,35.91,True,0,8.0
USR-02916,77.75,A,39.53,True,0,10.0
USR-00710,77.71,A,135.8,True,0,10.0
USR-11576,77.69,A,72.27,True,0,10.0
USR-12922,77.65,A,63.95,True,0,7.0
USR-11318,77.65,A,12.1,True,1,9.0
USR-02508,77.62,A,48.66,True,0,10.0
USR-11052,77.54,A,36.55,True,1,6.0
USR-09238,77.47,A,39.37,True,0,10.0
USR-05234,77.45,A,32.61,True,0,7.0
USR-01868,77.44,A,68.37,True,0,10.0
USR-14471,77.31,A,59.91,True,0,10.0
USR-03097,77.25,A,73.16,True,0,7.0
USR-06655,77.24,A,37.12,True,0,9.0
USR-01159,77.18,A,36.61,True,0,10.0
USR-08663,76.99,A,45.03,True,0,8.0
USR-11883,76.98,A,40.21,True,0,10.0
USR-07673,76.97,A,38.35,True,0,8.0
USR-01984,76.88,A,70.09,True,1,7.0
USR-06917,76.82,A,40.88,True,0,10.0
USR-09030,76.81,A,60.55,True,0,9.0
USR-01676,76.76,A,19.5,True,1,10.0
USR-07216,76.74,A,35.88,True,0,10.0
USR-01260,76.73,A,19.75,True,1,7.0
USR-11170,76.72,A,35.22,True,0,8.0
USR-01444,76.69,A,32.04,True,0,9.0
USR-02282,76.64,A,35.36,True,0,8.0
USR-09978,76.63,A,400.24,False,1,9.0
USR-09578,76.57,A,50.1,True,0,10.0
USR-11835,76.54,A,31.78,True,0,10.0
USR-14871,76.48,A,38.8,True,0,10.0
USR-06868,76.38,A,69.58,True,0,9.0
USR-11701,76.34,A,108.44,True,0,10.0
USR-10488,76.33,A,35.22,True,1,10.0
USR-09859,76.25,A,16.78,True,1,8.0
USR-05347,76.19,A,41.43,True,0,10.0
USR-00225,76.18,A,38.41,True,0,10.0
USR-12133,76.17,A,50.65,True,0,8.0
USR-05215,76.14,A,33.35,True,0,7.0
USR-06467,76.14,A,59.02,True,0,9.0
USR-09403,76.14,A,55.77,True,0,8.0
USR-01042,76.14,A,89.55,True,0,9.0
USR-02252,76.08,A,78.73,False,1,9.0
USR-02427,76.04,A,46.05,True,0,10.0
USR-07373,75.97,A,112.66,True,0,10.0
USR-09251,75.95,A,51.13,True,0,8.0
USR-11178,75.94,A,39.02,True,0,9.0
USR-00240,75.9,A,25.06,True,1,8.0
USR-07538,75.87,A,90.42,True,0,9.0
USR-07353,75.87,A,44.91,True,0,10.0
USR-12511,75.82,A,53.27,True,0,7.0
USR-11325,75.79,A,70.46,True,0,8.0
USR-00754,75.77,A,26.32,True,0,9.0
USR-05502,75.77,A,69.94,True,0,8.0
USR-01925,75.75,A,36.89,True,0,10.0
USR-03595,75.59,A,57.42,True,0,9.0
USR-00481,75.54,A,35.91,True,0,7.0
USR-14494,75.49,A,16.74,True,0,10.0
USR-06020,75.46,A,46.79,True,0,8.0
USR-09033,75.44,A,44.75,False,1,9.0
USR-14642,75.44,A,44.86,True,0,10.0
USR-04057,75.4,A,35.36,True,0,7.0
USR-08333,75.37,A,24.82,True,1,8.0
USR-01716,75.24,A,28.08,True,1,6.0
USR-10166,75.22,A,69.35,True,0,8.0
USR-09558,75.22,A,26.41,True,0,10.0
USR-14395,75.2,A,26.69,True,0,7.0
USR-03432,75.15,A,28.98,True,0,10.0
USR-13906,75.11,A,67.53,True,0,9.0
USR-03862,75.05,A,70.93,True,0,7.0
USR-10286,75.04,A,27.16,True,0,9.0
USR-14271,75.01,A,88.78,True,0,9.0
USR-06688,75.0,A,25.26,True,0,10.0
USR-02403,75.0,A,29.38,True,0,8.0
USR-09228,74.94,A,40.21,True,0,9.0
USR-14553,74.93,A,25.92,True,0,8.0
USR-01856,74.87,A,29.94,True,0,10.0
USR-09722,74.86,A,27.38,True,0,9.0
USR-01263,74.84,A,22.13,True,0,10.0
USR-03429,74.78,A,32.95,True,0,8.0
USR-12094,74.76,A,70.16,True,0,8.0
USR-01394,74.76,A,38.9,True,0,7.0
