user_id,cashback_perdido_mes,top_categoria_perdida,monto_top_categoria
USR-00004,23.38,restaurante,23.38
USR-00009,0.0,ninguna,0.0
USR-00010,25.09,servicios_digitales,15.19
USR-00011,9.22,viajes,9.22
USR-00013,5.37,supermercado,5.37
USR-00014,14.85,entretenimiento,14.85
USR-00015,0.0,ninguna,0.0
USR-00017,60.92,educacion,32.47
USR-00019,0.0,ninguna,0.0
USR-00023,13.1,salud,13.1
USR-00025,36.35,gobierno,18.78
USR-00027,4.65,entretenimiento,4.45
USR-00029,186.14,hogar,103.22
USR-00031,8.82,restaurante,8.82
USR-00032,67.71,ropa_accesorios,26.21
USR-00033,12.73,retiro_cajero,12.73
USR-00036,6.52,restaurante,6.52
USR-00037,7.66,ropa_accesorios,5.1
USR-00039,0.0,ninguna,0.0
USR-00040,8.83,restaurante,8.83
USR-00042,8.47,restaurante,8.47
USR-00045,0.0,ninguna,0.0
USR-00047,4.96,supermercado,4.96
USR-00048,0.0,ninguna,0.0
USR-00052,0.0,ninguna,0.0
USR-00054,0.0,ninguna,0.0
USR-00057,0.0,ninguna,0.0
USR-00058,0.0,ninguna,0.0
USR-00059,0.0,ninguna,0.0
USR-00061,0.0,ninguna,0.0
USR-00062,20.14,entretenimiento,14.08
USR-00064,0.0,ninguna,0.0
USR-00066,12.33,restaurante,7.46
USR-00067,14.03,restaurante,14.03
USR-00068,17.24,supermercado,17.24
USR-00069,132.59,gobierno,107.23
USR-00071,21.9,ropa_accesorios,8.06
USR-00074,0.0,ninguna,0.0
USR-00075,0.0,ninguna,0.0
USR-00079,0.0,ninguna,0.0
USR-00080,0.0,ninguna,0.0
USR-00081,105.65,supermercado,28.22
USR-00086,69.75,viajes,32.62
USR-00088,0.0,ninguna,0.0
USR-00089,0.0,ninguna,0.0
USR-00090,26.96,hogar,26.96
USR-00092,13.78,restaurante,13.78
USR-00096,0.0,ninguna,0.0
USR-00098,9.6,ropa_accesorios,7.65
USR-00099,0.0,ninguna,0.0
USR-00101,49.08,entretenimiento,24.41
USR-00108,22.67,supermercado,15.57
USR-00109,0.0,ninguna,0.0
USR-00110,3.24,supermercado,3.24
USR-00112,24.45,viajes,22.04
USR-00113,0.0,ninguna,0.0
USR-00121,20.87,ropa_accesorios,16.55
USR-00124,0.0,ninguna,0.0
USR-00126,0.0,ninguna,0.0
USR-00127,0.0,ninguna,0.0
USR-00128,14.96,entretenimiento,6.64
USR-00129,42.68,viajes,23.66
USR-00133,0.0,ninguna,0.0
USR-00134,39.09,entretenimiento,39.09
USR-00135,14.88,ropa_accesorios,7.85
USR-00136,0.0,ninguna,0.0
USR-00137,0.0,ninguna,0.0
USR-00139,0.0,ninguna,0.0
USR-00141,14.65,restaurante,13.19
USR-00142,0.0,ninguna,0.0
USR-00143,5.8,supermercado,4.13
USR-00144,33.21,ropa_accesorios,33.21
USR-00145,60.82,supermercado,33.07
USR-00146,0.0,ninguna,0.0
USR-00147,17.86,retiro_cajero,17.86
USR-00148,0.0,ninguna,0.0
USR-00150,0.0,ninguna,0.0
USR-00151,20.81,salud,16.63
USR-00153,6.43,salud,6.43
USR-00154,0.0,ninguna,0.0
USR-00155,14.9,supermercado,14.9
USR-00156,10.3,entretenimiento,10.3
USR-00157,0.0,ninguna,0.0
USR-00160,18.71,ropa_accesorios,7.03
USR-00161,0.0,ninguna,0.0
USR-00162,2.86,gobierno,2.86
USR-00168,5.68,supermercado,5.68
USR-00169,0.0,ninguna,0.0
USR-00171,13.41,supermercado,13.41
USR-00173,35.04,salud,18.03
USR-00174,24.58,ropa_accesorios,12.82
USR-00175,0.0,ninguna,0.0
USR-00176,0.0,ninguna,0.0
USR-00177,21.55,transporte,11.92
USR-00179,18.63,supermercado,10.29
USR-00180,31.84,supermercado,19.45
USR-00181,13.6,transporte,13.6
USR-00182,0.0,ninguna,0.0
USR-00183,67.2,transporte,67.2
USR-00185,0.0,ninguna,0.0
USR-00187,0.0,ninguna,0.0
USR-00188,11.93,restaurante,11.93
USR-00192,360.77,hogar,284.57
USR-00193,9.7,supermercado,9.7
USR-00194,0.0,ninguna,0.0
USR-00196,4.13,transporte,4.13
USR-00197,18.48,gobierno,15.7
USR-00198,30.49,supermercado,30.49
USR-00200,0.0,ninguna,0.0
USR-00201,25.27,ropa_accesorios,9.0
USR-00203,27.49,ropa_accesorios,7.76
USR-00204,10.61,restaurante,9.7
USR-00205,0.0,ninguna,0.0
USR-00207,0.0,ninguna,0.0
USR-00214,13.85,retiro_cajero,10.33
USR-00216,16.35,salud,9.06
USR-00219,316.95,gobierno,148.49
USR-00220,8.02,gobierno,3.67
USR-00223,0.0,ninguna,0.0
USR-00224,13.52,supermercado,13.52
USR-00225,38.41,restaurante,17.92
USR-00226,14.0,restaurante,9.46
USR-00227,0.0,ninguna,0.0
USR-00228,36.53,restaurante,36.53
USR-00231,27.83,restaurante,27.83
USR-00235,0.0,ninguna,0.0
USR-00238,12.32,supermercado,6.14
USR-00240,25.06,supermercado,16.17
USR-00246,16.7,transporte,16.7
USR-00247,24.54,transporte,14.53
USR-00248,0.0,ninguna,0.0
USR-00249,0.0,ninguna,0.0
USR-00250,0.0,ninguna,0.0
USR-00251,27.26,supermercado,23.83
USR-00252,44.95,salud,33.53
USR-00254,0.0,ninguna,0.0
USR-00255,28.85,salud,28.85
USR-00258,0.0,ninguna,0.0
USR-00262,0.0,ninguna,0.0
USR-00265,16.67,ropa_accesorios,10.48
USR-00267,32.28,supermercado,26.58
USR-00270,8.3,restaurante,5.97
USR-00271,54.47,supermercado,36.23
USR-00272,0.0,ninguna,0.0
USR-00274,67.85,transporte,22.97
USR-00276,0.0,ninguna,0.0
USR-00278,262.96,tecnologia,128.98
USR-00279,0.0,ninguna,0.0
USR-00281,0.0,ninguna,0.0
USR-00283,53.9,restaurante,36.04
USR-00284,0.0,ninguna,0.0
USR-00287,69.54,transporte,69.54
USR-00288,0.0,ninguna,0.0
USR-00289,25.98,supermercado,17.0
USR-00290,0.0,ninguna,0.0
USR-00291,40.03,supermercado,40.03
USR-00297,0.0,ninguna,0.0
USR-00298,0.0,ninguna,0.0
USR-00299,0.0,ninguna,0.0
USR-00300,0.0,ninguna,0.0
USR-00301,2.53,supermercado,2.53
USR-00302,0.0,ninguna,0.0
USR-00305,368.44,salud,133.35
USR-00308,40.32,ropa_accesorios,27.06
USR-00309,10.98,restaurante,5.02
USR-00312,0.0,ninguna,0.0
USR-00313,17.65,salud,17.65
USR-00314,0.0,ninguna,0.0
USR-00315,5.7,supermercado,5.7
USR-00317,23.84,supermercado,15.94
USR-00325,30.11,ropa_accesorios,30.11
USR-00326,21.85,supermercado,19.22
USR-00330,21.77,supermercado,12.19
USR-00332,12.98,transporte,11.0
USR-00335,0.0,ninguna,0.0
USR-00337,0.0,ninguna,0.0
USR-00338,10.27,restaurante,10.27
USR-00342,0.0,ninguna,0.0
USR-00344,0.0,ninguna,0.0
USR-00345,13.46,transporte,13.46
USR-00347,9.69,restaurante,7.85
USR-00348,4.06,supermercado,4.06
USR-00350,16.7,viajes,16.7
USR-00354,18.76,gobierno,18.76
USR-00356,26.99,restaurante,18.64
USR-00357,0.0,ninguna,0.0
USR-00358,0.97,gobierno,0.97
USR-00359,54.39,restaurante,18.02
USR-00361,17.46,supermercado,17.46
USR-00362,0.0,ninguna,0.0
USR-00364,6.97,restaurante,6.97
USR-00365,14.8,entretenimiento,6.73
USR-00366,21.52,servicios_digitales,6.46
USR-00367,0.0,ninguna,0.0
USR-00368,0.0,ninguna,0.0
USR-00375,143.86,hogar,76.29
USR-00376,13.24,entretenimiento,13.24
USR-00379,0.0,ninguna,0.0
USR-00382,44.7,gobierno,17.2
USR-00383,0.0,ninguna,0.0
USR-00385,292.99,restaurante,110.46
USR-00388,24.14,gobierno,16.18
USR-00390,0.0,ninguna,0.0
USR-00400,0.0,ninguna,0.0
USR-00403,13.34,supermercado,6.76
USR-00405,0.0,ninguna,0.0
USR-00406,78.93,transporte,40.67
USR-00409,0.0,ninguna,0.0
USR-00413,0.0,ninguna,0.0
USR-00414,0.0,ninguna,0.0
USR-00416,0.0,ninguna,0.0
USR-00417,0.0,ninguna,0.0
USR-00418,0.0,ninguna,0.0
USR-00419,0.0,ninguna,0.0
USR-00420,0.0,ninguna,0.0
USR-00421,1.98,supermercado,1.98
USR-00423,14.27,supermercado,10.52
USR-00424,0.0,ninguna,0.0
USR-00425,0.0,ninguna,0.0
USR-00426,8.26,entretenimiento,8.26
USR-00427,0.0,ninguna,0.0
USR-00428,3.81,gobierno,3.81
USR-00431,10.68,transporte,10.68
USR-00432,747.67,hogar,558.12
USR-00433,9.81,restaurante,9.81
USR-00435,36.41,viajes,36.41
USR-00436,0.0,ninguna,0.0
USR-00437,13.83,ropa_accesorios,13.83
USR-00438,15.73,restaurante,7.74
USR-00439,3.95,salud,3.95
USR-00445,8.3,ropa_accesorios,8.3
USR-00447,28.59,gobierno,13.46
USR-00451,0.0,ninguna,0.0
USR-00452,0.0,ninguna,0.0
USR-00453,64.45,supermercado,64.45
USR-00455,11.08,restaurante,11.08
USR-00457,32.55,entretenimiento,13.95
USR-00459,26.76,supermercado,10.34
USR-00460,7.08,salud,7.08
USR-00463,0.0,ninguna,0.0
USR-00464,13.43,entretenimiento,10.46
USR-00465,5.14,retiro_cajero,5.14
USR-00467,16.51,viajes,16.51
USR-00469,54.14,restaurante,29.33
USR-00470,14.81,retiro_cajero,14.81
USR-00471,0.0,ninguna,0.0
USR-00472,24.07,restaurante,24.07
USR-00476,32.17,restaurante,32.17
USR-00480,0.0,ninguna,0.0
USR-00481,35.91,restaurante,35.91
USR-00482,70.32,entretenimiento,33.1
USR-00483,0.0,ninguna,0.0
USR-00485,4.76,tecnologia,4.76
USR-00487,0.0,ninguna,0.0
USR-00488,39.95,salud,39.95
USR-00490,0.0,ninguna,0.0
USR-00492,51.2,hogar,51.2
USR-00494,0.0,ninguna,0.0
USR-00496,0.0,ninguna,0.0
USR-00498,7.55,supermercado,7.55
USR-00502,0.0,ninguna,0.0
USR-00503,2.42,supermercado,2.42
USR-00505,21.26,restaurante,12.44
USR-00506,0.0,ninguna,0.0
USR-00508,20.85,supermercado,17.58
USR-00509,84.41,supermercado,84.41
USR-00510,5.33,restaurante,5.33
USR-00513,12.46,supermercado,12.46
USR-00514,24.16,supermercado,24.16
USR-00515,3.34,gobierno,3.34
USR-00517,4.15,restaurante,4.15
USR-00519,71.61,tecnologia,71.61
USR-00520,0.52,supermercado,0.52
USR-00521,7.44,entretenimiento,7.44
USR-00523,0.0,ninguna,0.0
USR-00527,8.83,ropa_accesorios,8.83
USR-00528,17.79,educacion,9.0
USR-00529,15.6,transporte,9.11
USR-00531,0.0,ninguna,0.0
USR-00532,0.0,ninguna,0.0
USR-00533,0.0,ninguna,0.0
USR-00534,24.7,gobierno,24.7
USR-00536,20.91,viajes,20.91
USR-00538,10.43,supermercado,10.43
USR-00539,0.0,ninguna,0.0
USR-00540,0.0,ninguna,0.0
USR-00541,0.0,ninguna,0.0
USR-00542,17.7,entretenimiento,15.16
USR-00543,7.09,transporte,7.09
USR-00545,1.9,entretenimiento,1.9
USR-00546,0.0,ninguna,0.0
USR-00551,0.0,ninguna,0.0
USR-00552,0.0,ninguna,0.0
USR-00555,39.75,entretenimiento,27.64
USR-00556,13.0,entretenimiento,13.0
USR-00557,9.74,retiro_cajero,9.74
USR-00558,1.47,transporte,1.47
USR-00559,0.0,ninguna,0.0
USR-00561,0.0,ninguna,0.0
USR-00562,8.92,restaurante,8.92
USR-00563,116.31,viajes,116.31
USR-00564,0.0,ninguna,0.0
USR-00565,0.0,ninguna,0.0
USR-00566,9.43,ropa_accesorios,9.43
USR-00571,9.48,salud,8.86
USR-00572,26.71,ropa_accesorios,13.38
USR-00575,0.0,ninguna,0.0
USR-00576,85.51,supermercado,34.2
USR-00579,0.0,ninguna,0.0
USR-00580,11.92,transporte,11.92
USR-00581,162.83,viajes,74.31
USR-00584,277.74,restaurante,118.56
USR-00587,0.0,ninguna,0.0
USR-00591,253.97,hogar,139.2
USR-00593,0.0,ninguna,0.0
USR-00594,30.42,educacion,17.25
USR-00595,0.0,ninguna,0.0
USR-00596,60.69,ropa_accesorios,27.59
USR-00597,25.63,educacion,13.42
USR-00599,0.0,ninguna,0.0
USR-00600,0.0,ninguna,0.0
USR-00602,7.9,restaurante,6.36
USR-00604,0.0,ninguna,0.0
USR-00606,0.0,ninguna,0.0
USR-00607,40.73,ropa_accesorios,14.91
USR-00608,4.79,entretenimiento,2.76
USR-00611,0.0,ninguna,0.0
USR-00612,0.0,ninguna,0.0
USR-00614,0.37,retiro_cajero,0.37
USR-00615,10.26,restaurante,10.26
